date,tracker_id,tracker_name,metric_name,option_index,polarity,weight,value
2019-01-09,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.36
2019-01-09,7,Media Usage,TV news channels,0,0.0,0.0,53.18
2019-01-09,7,Media Usage,Radio,1,0.0,0.0,1.92
2019-01-09,7,Media Usage,Newspapers,2,0.0,0.0,12.91
2019-01-09,7,Media Usage,News magazines,3,0.0,0.0,0.12
2019-01-09,7,Media Usage,Internet / social media,4,0.0,0.0,25.79
2019-01-09,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.23
2019-01-09,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.83
2019-01-09,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.39
2019-01-10,1,National Issues,Corruption,0,-1.0,1.0,10.07
2019-01-10,1,National Issues,Unemployment,1,-1.0,1.5,28.05
2019-01-10,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.3
2019-01-10,1,National Issues,Rising Prices,3,-1.0,1.5,7.96
2019-01-10,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.35
2019-01-10,1,National Issues,Terror Attacks,5,1.0,0.9,2.32
2019-01-10,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-10,1,National Issues,Other Issues,7,0.0,0.0,29.13
2019-01-10,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,7.82
2019-01-10,2,Quality of Life Index,Improved,0,1.0,1.3,38.24
2019-01-10,2,Quality of Life Index,Remained the same,1,0.0,0.2,31.4
2019-01-10,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,29.0
2019-01-10,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.36
2019-01-10,5,Index of Optimism,Will Improve,0,1.0,1.5,52.84
2019-01-10,5,Index of Optimism,Will remain the same,1,0.0,0.2,11.32
2019-01-10,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.79
2019-01-10,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,26.05
2019-01-10,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.03
2019-01-10,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,57.56
2019-01-10,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.7
2019-01-10,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,21.35
2019-01-10,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.36
2019-01-10,7,Media Usage,TV news channels,0,0.0,0.0,52.93
2019-01-10,7,Media Usage,Radio,1,0.0,0.0,1.87
2019-01-10,7,Media Usage,Newspapers,2,0.0,0.0,13.17
2019-01-10,7,Media Usage,News magazines,3,0.0,0.0,0.1
2019-01-10,7,Media Usage,Internet / social media,4,0.0,0.0,25.54
2019-01-10,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.25
2019-01-10,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.92
2019-01-10,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.5
2019-01-11,1,National Issues,Corruption,0,-1.0,1.0,10.27
2019-01-11,1,National Issues,Unemployment,1,-1.0,1.5,27.51
2019-01-11,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.4
2019-01-11,1,National Issues,Rising Prices,3,-1.0,1.5,7.4
2019-01-11,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.47
2019-01-11,1,National Issues,Terror Attacks,5,1.0,0.9,2.15
2019-01-11,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-11,1,National Issues,Other Issues,7,0.0,0.0,30.37
2019-01-11,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,7.43
2019-01-11,2,Quality of Life Index,Improved,0,1.0,1.3,37.61
2019-01-11,2,Quality of Life Index,Remained the same,1,0.0,0.2,30.59
2019-01-11,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,30.42
2019-01-11,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.38
