date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2020-01-06,29.77,0.57,37.04,32.62
2020-01-07,30.11,0.6,37.0,32.29
2020-01-08,29.92,0.61,37.35,32.12
2020-01-09,30.23,0.56,37.18,32.03
2020-01-10,30.21,0.6,37.11,32.08
2020-01-11,30.55,0.6,36.85,32.0
2020-01-12,30.7,0.51,37.0,31.79
2020-01-13,30.75,0.59,37.18,31.48
2020-01-14,31.13,0.59,37.01,31.27
2020-01-15,31.3,0.55,36.61,31.54
2020-01-16,31.31,0.51,36.37,31.81
2020-01-17,31.34,0.57,36.29,31.8
2020-01-18,31.64,0.68,36.45,31.23
2020-01-19,31.63,0.66,36.69,31.02
2020-01-20,31.26,0.67,36.63,31.44
2020-01-21,31.5,0.65,36.03,31.82
2020-01-22,31.63,0.6,36.04,31.73
2020-01-23,31.8,0.63,36.3,31.27
2020-01-24,31.92,0.61,36.4,31.07
2020-01-25,32.1,0.6,36.57,30.73
2020-01-26,32.1,0.6,36.57,30.73
2020-01-27,32.03,0.63,36.74,30.6
2020-01-28,31.76,0.72,36.67,30.85
2020-01-29,31.7,0.92,36.56,30.82
2020-01-30,31.9,0.87,36.52,30.71
2020-01-31,32.05,0.88,36.56,30.51
2020-02-01,31.92,0.91,36.64,30.53
2020-02-02,31.92,0.91,36.64,30.53
2020-02-03,31.92,0.91,36.64,30.53
2020-02-04,31.69,0.9,36.8,30.61
2020-02-05,31.16,0.95,36.63,31.26
2020-02-06,30.62,0.88,36.78,31.72
2020-02-07,29.72,0.89,37.01,32.38
2020-02-08,29.69,0.85,37.06,32.4
2020-02-09,29.69,0.85,37.06,32.4
2020-02-10,28.93,0.93,37.06,33.08
2020-02-11,28.19,0.74,37.08,33.99
2020-02-12,29.36,0.71,36.81,33.12
2020-02-13,29.85,0.76,36.98,32.41
2020-02-14,29.38,0.71,37.1,32.81
2020-02-15,28.57,0.84,37.84,32.75
2020-02-16,28.57,0.84,37.84,32.75
2020-02-17,28.4,0.79,37.82,32.99
2020-02-18,28.45,0.82,37.99,32.74
2020-02-19,30.85,5.48,34.55,29.12
2020-02-20,33.33,1.31,35.52,29.84
2020-02-21,33.33,1.31,35.52,29.84
2020-02-22,31.75,1.26,37.4,29.59
2020-02-23,31.75,1.26,37.4,29.59
2020-02-24,32.86,1.23,35.72,30.19
2020-02-25,32.96,1.18,35.96,29.9
2020-02-26,32.4,1.17,35.9,30.53
2020-02-27,31.39,1.23,36.94,30.44
2020-02-28,30.45,1.4,37.55,30.6
2020-02-29,30.83,1.47,37.61,30.09
2020-03-01,30.83,1.47,37.61,30.09
2020-03-02,31.04,1.46,36.78,30.72
2020-03-03,30.9,1.46,37.08,30.56
2020-03-04,31.11,1.49,36.8,30.6
2020-03-05,30.83,1.41,36.89,30.87
2020-03-06,30.58,1.44,36.94,31.04
2020-03-07,30.5,1.41,37.15,30.94
2020-03-08,30.5,1.41,37.15,30.94
2020-03-09,30.11,1.42,37.4,31.07
2020-03-10,30.11,1.42,37.4,31.07
2020-03-11,30.11,1.42,37.4,31.07
2020-03-12,30.14,1.33,37.43,31.1
2020-03-13,29.91,1.32,37.6,31.17
2020-03-14,29.38,1.29,38.18,31.15
2020-03-15,29.38,1.29,38.18,31.15
2020-03-16,29.23,1.36,38.12,31.29
2020-03-17,28.81,1.38,38.46,31.35
2020-03-18,28.23,1.4,38.99,31.38
2020-03-19,27.36,1.39,39.16,32.09
2020-03-20,26.93,0.84,38.99,33.24
2020-03-21,26.65,0.8,38.82,33.73
2020-03-22,26.65,0.8,38.82,33.73
2020-03-23,25.53,0.76,39.86,33.85
2020-03-24,25.49,0.74,39.39,34.38
2020-03-25,25.49,0.74,39.39,34.38
2020-03-26,25.49,0.74,39.39,34.38
2020-03-27,24.97,0.79,40.01,34.23
2020-03-28,25.03,0.78,39.51,34.68
2020-03-29,25.02,0.78,39.52,34.68
2020-03-30,25.34,0.85,39.35,34.46
2020-03-31,25.47,0.87,38.67,34.99
2020-04-01,24.1,0.8,39.95,35.15
2020-04-02,24.4,0.84,40.43,34.33
2020-04-03,25.28,0.85,41.07,32.8
2020-04-04,25.28,0.85,41.07,32.8
2020-04-05,25.28,0.85,41.07,32.8
2020-04-06,25.28,0.85,41.07,32.8
2020-04-07,24.7,0.83,40.23,34.24
2020-04-08,24.39,0.88,39.83,34.9
2020-04-09,24.38,0.86,39.8,34.96
2020-04-10,24.33,0.87,39.82,34.98
2020-04-11,24.33,0.87,39.82,34.98
2020-04-12,24.3,0.89,39.87,34.94
2020-04-13,24.0,0.91,40.4,34.69
2020-04-14,24.86,0.93,39.99,34.22
2020-04-15,24.32,0.92,39.63,35.13
2020-04-16,23.85,1.26,39.43,35.46
2020-04-17,24.6,1.22,40.04,34.14
2020-04-18,25.54,0.92,39.11,34.43
2020-04-19,25.54,0.92,39.11,34.43
2020-04-20,26.28,0.97,38.9,33.85
2020-04-21,26.97,0.92,38.42,33.69
2020-04-22,26.56,0.97,39.06,33.41
2020-04-23,26.07,0.97,39.09,33.87
2020-04-24,24.81,1.04,40.36,33.79
2020-04-25,23.93,0.99,40.7,34.38
2020-04-26,25.08,1.14,39.66,34.12
2020-04-27,24.36,1.28,40.14,34.22
2020-04-28,24.23,1.36,39.93,34.48
2020-04-29,24.47,1.21,39.67,34.65
2020-04-30,24.94,1.3,39.13,34.63
2020-05-01,24.03,1.49,39.35,35.13
2020-05-02,24.46,1.68,39.73,34.13
2020-05-03,25.31,1.64,39.88,33.17
2020-05-04,25.12,1.61,40.05,33.22
2020-05-05,25.56,1.62,40.52,32.3
2020-05-06,25.38,1.54,39.64,33.44
2020-05-07,25.46,1.47,39.21,33.86
2020-05-08,26.37,1.72,38.75,33.16
2020-05-09,26.77,1.77,38.36,33.1
2020-05-10,26.76,1.43,38.38,33.43
2020-05-11,27.06,1.38,38.76,32.8
2020-05-12,27.09,1.29,39.02,32.6
2020-05-13,27.03,1.4,38.63,32.94
